Symbol,Name,Country,IPO Year,Sector,Industry
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,,
AHT,Ashford Hospitality Trust Inc Common Stock,United States,2003,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States,,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States,,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States,,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States,,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States,,,
AI,C3.ai Inc. Class A Common Stock,United States,2020,Technology,Computer Software: Prepackaged Software
AIB,AIB Acquisition Corporation Class A Ordinary Shares,United States,2022,Finance,Blank Checks
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,United States,2015,Real Estate,Real Estate Investment Trusts
AIF,Apollo Tactical Income Fund Inc. Common Stock,,2013,Finance,Finance Companies
AIG,American International Group Inc. New Common Stock,United States,,Finance,Life Insurance
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,United States,,,
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,China,2019,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited Common Stock,China,2018,Finance,Finance: Consumer Services
AIM,AIM ImmunoTech Inc. Common Stock,United States,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMAU,Aimfinity Investment Corp. I Unit,United States,2022,Finance,Blank Checks
AIMAW,Aimfinity Investment Corp. I Warrant,United States,2022,Finance,Blank Checks
AIMBU,Aimfinity Investment Corp. I Subunit,United States,2022,Finance,Blank Checks
AIMD,Ainos Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,United States,,Consumer Discretionary,Textiles
AINC,Ashford Inc. (Holding Company) Common Stock,United States,2014,Consumer Discretionary,Professional Services
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,,2019,Finance,Finance/Investors Services
AIP,Arteris Inc. Common Stock,United States,2021,Technology,Semiconductors
AIR,AAR Corp. Common Stock,United States,,Industrials,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,United States,2020,Real Estate,Real Estate Investment Trusts
AIRE,reAlpha Tech Corp. Common Stock,United States,,,
AIRG,Airgain Inc. Common Stock,United States,2016,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,United States,,Industrials,Military/Government/Technical
AIRS,AirSculpt Technologies Inc. Common Stock,United States,2021,Health Care,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,United States,,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States,,Consumer Discretionary,Air Freight/Delivery Services
AISP,Airship AI Holdings Inc. Class A Common Stock,United States,2021,Finance,Blank Checks
AISPW,Airship AI Holdings Inc. Warrants,United States,2021,Finance,Blank Checks
AIT,Applied Industrial Technologies Inc. Common Stock,United States,,Industrials,Industrial Machinery/Components
AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,United States,2024,,
AITRR,AI TRANSPORTATION ACQUISITION CORP Right,United States,2024,,
AITRU,AI TRANSPORTATION ACQUISITION CORP Unit,United States,2023,,
AIU,Meta Data Limited ADS,,2018,Real Estate,Other Consumer Services
AIV,Apartment Investment and Management Company Common Stock,United States,1994,Real Estate,Real Estate Investment Trusts
AIXI,XIAO-I Corporation American Depositary Shares,China,2023,Technology,Computer Software: Prepackaged Software
AIZ,Assurant Inc. Common Stock,United States,2004,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,2020,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,United States,,Finance,Specialty Insurers
AJX,Great Ajax Corp. Common Stock,United States,2015,Real Estate,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States,2017,Real Estate,Real Estate Investment Trusts
AKA,a.k.a. Brands Holding Corp. Common Stock,,2021,Consumer Discretionary,Catalog/Specialty Distribution
AKAM,Akamai Technologies Inc. Common Stock,United States,1999,Consumer Discretionary,Business Services
AKAN,Akanda Corp. Common Shares,United Kingdom,2022,Health Care, Medicinal Chemicals and Botanical Products 
AKBA,Akebia Therapeutics Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
AKLI,Akili Inc. Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
AKO/A,Embotelladora Andina S.A.,Chile,,,
AKO/B,Embotelladora Andina S.A.,Chile,,,
AKR,Acadia Realty Trust Common Stock,United States,,Real Estate,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,United States,2019,Health Care,Biotechnology: Pharmaceutical Preparations
AKTS,Akoustis Technologies Inc. Common Stock,United States,,Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics plc ADS,United Kingdom,,Health Care,Biotechnology: Pharmaceutical Preparations
AKYA,Akoya BioSciences Inc. Common Stock,United States,2021,Industrials,Medical Specialities
AL,Air Lease Corporation Class A Common Stock,United States,2011,Consumer Discretionary,Diversified Commercial Services
